DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Country,Longitude,Latitude,LocQual,Source,Comments
1573,Beta-435682,,,3310,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1574,Beta-435683,,,3610,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1576,Beta-436095,,,2870,30,,seed (charred),,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1577,Beta-436096,,,2830,30,,seed (charred),,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1578,Beta-447588,,,2720,30,,wood,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1579,Beta-447589,,,2740,30,,wood,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1580,Beta-447590,,,2750,30,,wood,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1593,Beta-462757,,,3420,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1594,Beta-462758,,,3360,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1595,Beta-462759,,,3490,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1596,Beta-462760,,,3390,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1597,Beta-462761,,,3550,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1598,Beta-462762,,,3260,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1599,Beta-462763,,,3450,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1600,Beta-462764,,,3500,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
6904,OxA-8018,,,2255,35,-21.327,charcoal,,18390,Island of Merawah,,settlement,AE,53.262,24.2689,B,Higham et al. 2007; ORAU,
7152,OZV-447,,,2710,35,,wood,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7153,OZV-449,,,2960,80,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7154,OZV-450,,,2740,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7155,OZV-451,,,2810,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7156,OZV-454,,,2970,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7157,OZV-455,,,2915,35,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7158,OZV-456,,,3240,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7159,OZV-457,,,3370,35,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7160,OZV-968,,,2890,20,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7161,OZV-969,,,2910,20,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7162,OZV-971,,,2870,20,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7163,OZV-972,,,2720,20,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7164,OZV-973,,,3445,20,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
9832,SUERC-1812,,,5630,50,,,,303299,"MR 11, Marawah Island",house,settlement,AE,53.260005,24.274406,A,Lidour and Beech 2019,
9836,SUERC-3608,,,6675,40,,,,303299,"MR 11, Marawah Island",house,settlement,AE,53.260005,24.274406,A,Lidour and Beech 2019,
9837,SUERC-3612,,,6750,40,,,,303299,"MR 11, Marawah Island",house,settlement,AE,53.260005,24.274406,A,Lidour and Beech 2019,
JM104,WK11612,,,2562,43,,fruit,Phoenix dactylifera,JMSID4,Muweilah,84009,settlement,AE,55.49732187,25.2988825,A,"Magee, 2004",
JM105,WK12369,,,2457,49,,charcoal,wood,JMSID4,Muweilah,84009,settlement,AE,55.49732187,25.2988825,A,"Magee, 2004",
JM106,WK11612,,,2562,43,,fruit,Phoenix dactylifera,JMSID4,Muweilah,Area C. 84009,settlement,AE,55.49732187,25.2988825,A,"Magee, 2004",
JM107,OZB802,,,2406,134,,seed,Phoenix dactylifera,JMSID4,Muweilah,Area C. 2112,settlement,AE,55.49732187,25.2988825,A,"Magee, 2004",
JM108,OZB804,,,2488,67,,seed,Phoenix dactylifera,JMSID4,Muweilah,Area C. 1505,settlement,AE,55.49732187,25.2988825,A,"Magee, 2004",
JM109,WK 9572,,,2568,58,,seed,Phoenix dactylifera,JMSID4,Muweilah,Area C. 12030,settlement,AE,55.49732187,25.2988825,A,"Magee, 2004",
JM111,HV 13641,,,2725,145,,charcoal,,JMSID5,Shimal,shell midden,settlement,AE,56.03321139,25.81902133,B,"Magee, 1996",
JM113,Beta 91468,,,2670,60,,charcoal,,JMSID6,Husn Awhala,,settlement,AE,56.30381408,24.90792129,A,"Magee, 1996",
JM114,Beta 91467,,,2670,60,,charcoal,,JMSID6,Husn Awhala,,settlement,AE,56.30381408,24.90792129,A,"Magee, 1996",
JM115,Beta 91469,,,2610,60,,charcoal,,JMSID6,Husn Awhala,,settlement,AE,56.30381408,24.90792129,A,"Magee, 1996",
JM116,Ly 3076,,,3110,170,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM117,Ly 3783,,,2970,150,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM118,Ly 3782,,,2610,90,,seed,Phoenix dactylifera,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM119,Ly 3078,,,2860,150,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM121,Ly 3077,,,2730,150,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM122,Ly 3781,,,2660,120,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM123,Ly 3779,,,2380,110,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM124,Ly 3075,,,2740,100,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM125,Ly 3780,,,2580,110,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM126,Ly 3778,,,2280,110,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM209,BM 2928,,,3610,40,,charcoal,,JMSID34,Nud Ziba,,settlement,AE,56.016667,25.624167,A,"Kennet and Velde, 1995",
JM210,AA84596,,,3968,46,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM211,AA84590,,,2768,39,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM212,AA84591,,,2811,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM213,AA85670,,,2790,46,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM214,AA84589,,,2837,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM215,AA84593,,,3487,41,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM216,AA84594,,,3471,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM217,AA84595,,,3610,57,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM218,AA84597,,,3740,96,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM219,AA84598,,,4326,56,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM220,MAMS27411,,,1983,23,,ash,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM221,MAMS27414,,,2412,27,,ash,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM222,MAMS26401,,,2552,25,,charcoal,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM223,MAMS26402,,,2659,24,,charcoal,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM224,MAMS20863,,,2732,20,,sediment,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM225,MAMS20862,,,2803,20,,sediment,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM226,MAMS20861,,,2894,20,,charcoal,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM227,MAMS27413,,,3399,26,,ash,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM228,MAMS27412,,,3408,26,,ash,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM229,MAMS20864,,,3580,26,,bone,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM230,MAMS27410,,,3880,26,,charcoal,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM231,Hd-28956,,,5094,82,,sediment,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM232,MAMS20866,,,5195,33,,sediment,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
