DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Country,Longitude,Latitude,LocQual,Source,Comments
1598,Beta-462762,,,3260,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1599,Beta-462763,,,3450,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1600,Beta-462764,,,3500,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7153,OZV-449,,,2960,80,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7155,OZV-451,,,2810,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7156,OZV-454,,,2970,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7157,OZV-455,,,2915,35,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7158,OZV-456,,,3240,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7159,OZV-457,,,3370,35,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7160,OZV-968,,,2890,20,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7161,OZV-969,,,2910,20,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7162,OZV-971,,,2870,20,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7164,OZV-973,,,3445,20,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
9832,SUERC-1812,,,5630,50,,,,303299,"MR 11, Marawah Island",house,settlement,AE,53.260005,24.274406,A,Lidour and Beech 2019,
JM116,Ly 3076,,,3110,170,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM117,Ly 3783,,,2970,150,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM119,Ly 3078,,,2860,150,,charcoal,,JMSID7,Rumeilah,,settlement,AE,55.7590929,24.27708164,A,"Magee, 1996",
JM209,BM 2928,,,3610,40,,charcoal,,JMSID34,Nud Ziba,,settlement,AE,56.016667,25.624167,A,"Kennet and Velde, 1995",
JM210,AA84596,,,3968,46,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM211,AA84590,,,2768,39,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM212,AA84591,,,2811,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM213,AA85670,,,2790,46,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM214,AA84589,,,2837,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM215,AA84593,,,3487,41,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM216,AA84594,,,3471,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM217,AA84595,,,3610,57,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
